name, county, size (acres), elevation (feet), latitude, longitude
Airplane,Chelan,9.40,5305,48.002594,-121.006674
Bannock - Middle,Chelan,6.90,5929,48.260666,-120.972715
Bannock - Upper,Chelan,11.80,5934,48.257043,-120.968671
Battalion,Chelan,6.40,5350,48.345756,-120.787952
Blue,Chelan,14.40,6259,48.5059,-120.670502
Chain - Lower,Chelan,3.90,5632,47.691094,-121.019667
Chain - Middle,Chelan,7.40,5684,47.687869,-121.016262
Chain - Upper,Chelan,4.60,5710,47.685949,-121.012644
Chiwaukum,Chelan,68.50,5214,47.72505,-120.887102
D (Dee),Chelan,7.40,5633,47.976458,-120.852153
Dee Dee - Lower,Chelan,0.80,6273,48.405536,-120.649542
Dee Dee - Tamarack,Chelan,12.30,6308,48.403549,-120.649778
Doelle - Lower,Chelan,2.90,5640,47.692801,-121.002441
Doelle - Upper,Chelan,8.60,5787,47.692659,-121.006683
Dole - Lower,Chelan,5.00,6146,48.175026,-120.733327
Dole - Middle,Chelan,6.10,6149,48.172195,-120.730024
Doubtful,Chelan,29.90,5390,48.473985,-121.047633
Earle,Chelan,14.00,6694,47.505274,-120.772158
Enchantment No 3 (Leprechaun Lake),Chelan,9.20,6879,47.478118,-120.787162
Enchantment No 5 (Inspiration Lake),Chelan,17.10,7194,47.4824,-120.801247
Grace - Lower (1),Chelan,5.30,6271,47.692762,-120.939545
Grass,Chelan,1.90,3580,47.685256,-121.076925
Jason - Lower,Chelan,1.70,5751,47.717142,-120.883055
Jason - Middle,Chelan,1.30,5832,47.717211,-120.889565
Jason - Upper,Chelan,6.00,5838,47.714583,-120.890266
Julius,Chelan,13.30,5194,47.736458,-120.876191
Klonaqua - Upper,Chelan,65.20,5191,47.591968,-121.078666
Knox,Chelan,4.80,6232,47.693176,-120.88936
Lanham,Chelan,7.10,4149,47.750364,-121.018761
Leonard - Lower,Chelan,1.90,6188,47.533667,-120.929682
Leonard - Upper,Chelan,1.30,6909,47.528915,-120.924345
Lichenwasser,Chelan,25.10,4708,47.792343,-121.076817
Loch Eileen,Chelan,24.60,5512,47.741462,-120.889511
Louis,Chelan,3.60,4469,47.864192,-121.132616
Lyman,Chelan,73.50,5603,48.193334,-120.910499
Mad,Chelan,7.50,5820,47.934184,-120.653888
Merritt,Chelan,5.50,5027,47.805934,-120.913651
Mesa,Chelan,3.60,6694,47.507994,-120.76594
